Day,StockPrice
1,103.54810468526867
2,100.84031436340116
3,102.01747578821181
4,104.56178597173762
5,103.83511514697076
6,98.16544280025755
7,102.04017454840692
8,99.85728217011496
9,99.97355743649162
10,101.02119033734341
11,100.50807826920315
12,103.14853549425773
13,101.78206080412237
14,100.52333174036941
15,101.18770396650334
16,100.98732134947993
17,103.32812539487497
18,99.94964459498775
19,101.00608967993648
20,98.69175519232972
21,95.31395863377708
22,101.74716621108526
23,102.18879129296704
24,98.99557780980336
25,105.03940509432861
26,97.61115149330996
27,100.63138583373343
28,100.18548597622711
29,103.64539586272959
30,103.53853757219778
31,100.92969628289588
32,101.39610663060589
33,98.88418897691488
34,96.71814509745937
35,100.00388993803534
36,101.03238697881957
37,103.20024376723534
38,103.16439398986785
39,100.0049510254656
40,100.1949679686952
41,98.72243475098269
42,97.99947037986776
43,97.44692976806006
44,104.78098311697799
45,99.88008838248675
46,100.04320276467291
47,98.43371743229584
48,102.51424377132791
49,97.75142035476497
50,100.5736865228062
51,99.22818299753237
52,101.81286811586003
53,100.03739776897376
54,98.71768648380522
55,101.04252704750856
56,101.97549370181727
57,101.27180062677421
58,101.76364392367492
59,99.90998757222118
60,100.47307870447031
61,99.87356702351083
62,100.51930604464894
63,99.63204177865973
64,97.82568859976739
65,101.65302299760599
66,100.51452315666769
67,98.07760001879863
68,102.28347023544282
69,99.56321529566333
70,101.50160636481347
71,102.87579745550626
72,101.69548008013163
73,103.73621068511298
74,99.0076498230923
75,102.3018739447231
76,100.1474566902941
77,99.79536575531121
78,100.39914083780721
79,100.95361210938272
80,101.70892171753071
81,99.28616202457522
82,103.43798212727526
83,102.58751821473724
84,98.60356683985907
85,104.67241613292617
86,105.50754424667176
87,104.09317576314307
88,101.39561421294688
89,99.63380240344398
90,103.9040513209914
91,101.00863061325654
92,104.27970766810473
93,102.27119684436167
94,103.82775062345712
95,102.60702726923131
96,103.32725895848256
97,101.95492699430724
98,105.5254784157377
99,102.22736819344526
100,102.7973253808647
101,105.77944672063981
102,99.33742186421442
103,99.51176059774127
104,104.01131052832118
105,99.74605268900217
106,105.99932008855782
107,101.304613765459
108,100.65671186641075
109,106.0172710180823
110,105.15217769827319
111,105.94602282194931
112,104.04274659972063
113,100.52795385250647
